geometry_mode,reset_idx,reset_time_s
box,0,0.3081582500017248
box,1,0.16875549999531358
box,2,0.19743012500111945
box,3,0.2490256250021048
box,4,0.20027808300801553
box,5,0.3029549579950981
box,6,0.22827433299971744
box,7,0.1442467089946149
box,8,0.16196795798896346
box,9,0.2498847079987172
box,10,0.16522158301086165
box,11,0.17783266700280365
box,12,0.13315125000372063
box,13,0.2306202920008218
box,14,0.31232137499318924
box,15,0.16389445899403654
box,16,0.2901857090037083
box,17,0.6425567910046084
box,18,0.2876681659981841
box,19,0.48225483400165103
box,20,0.2945365000050515
box,21,0.27949570800410584
box,22,0.3614765419915784
box,23,0.2526697499997681
box,24,0.41123399999924004
box,25,0.22668916599650402
box,26,0.36323737500060815
box,27,0.3149458749976475
box,28,0.35898745799204335
box,29,0.3919173330068588
box,30,0.32364491699263453
box,31,0.2166219170030672
box,32,0.27977354200265836
box,33,0.2735023330023978
box,34,0.2623318330006441
box,35,0.24767845799215138
box,36,0.2900971670023864
box,37,0.2559044170047855
box,38,0.3544007500022417
box,39,0.23825849998684134
box,40,0.15456212499702815
box,41,0.21426524998969398
box,42,0.2762006669945549
box,43,0.14401045799604617
box,44,0.2618949580064509
box,45,0.19847970800765324
box,46,0.18866916600381956
box,47,0.1885221249976894
box,48,0.16264362500805873
box,49,0.28220991700072773
vhacd,0,0.26131537499895785
vhacd,1,0.1889970830088714
vhacd,2,0.2076317090104567
vhacd,3,0.2673252499953378
vhacd,4,0.20722533299704082
vhacd,5,0.3199492919957265
vhacd,6,0.20016424999630544
vhacd,7,0.1450720410066424
vhacd,8,0.17993974999990314
vhacd,9,0.26225212500139605
vhacd,10,0.15587216700077988
vhacd,11,0.18336287500278559
vhacd,12,0.1334693749959115
vhacd,13,0.2342789999966044
vhacd,14,0.3116720840043854
vhacd,15,0.17108770899358205
vhacd,16,0.32831183398957364
vhacd,17,0.6681863749981858
vhacd,18,0.1654095420090016
vhacd,19,0.40401970798848197
vhacd,20,0.13967629200487863
vhacd,21,0.17055712500587106
vhacd,22,0.23205237500951625
vhacd,23,0.1619573749921983
vhacd,24,0.3114846249955008
vhacd,25,0.1441289580106968
vhacd,26,0.296367332994123
vhacd,27,0.21402308299730066
vhacd,28,0.21095204199082218
vhacd,29,0.296922417008318
vhacd,30,0.26390666599036194
vhacd,31,0.14338112500263378
vhacd,32,0.1870556669891812
vhacd,33,0.1888204169954406
vhacd,34,0.18046870800026227
vhacd,35,0.16833437500463333
vhacd,36,0.22099162499944214
vhacd,37,0.18766112500452437
vhacd,38,0.2524459590058541
vhacd,39,0.17736049999075476
vhacd,40,0.15044870800920762
vhacd,41,0.24082104199624155
vhacd,42,0.34373675000097137
vhacd,43,0.14245266700163484
vhacd,44,0.2610933749965625
vhacd,45,0.2286274170037359
vhacd,46,0.19170924999343697
vhacd,47,0.1881552080012625
vhacd,48,0.16494308300025295
vhacd,49,0.2758912919962313
