ik_success,success,planning_time_s,n_collision_checks,collision_check_time_s,condition,gate_mode,clutter_mode,gate_sep_m,trial,gate_sep_sweep
True,False,0.0009432499937247485,2,0.0006269159930525348,all_box,box,box,0.15,1,0.15
True,True,0.00692124999477528,22,0.0060557920223800465,all_box,box,box,0.15,2,0.15
False,False,0.0,0,0.0,all_box,box,box,0.15,3,0.15
False,False,0.0,0,0.0,all_box,box,box,0.15,4,0.15
False,False,0.0,0,0.0,all_box,box,box,0.15,5,0.15
True,False,0.0009037499985424802,2,0.000640875005046837,all_box,box,box,0.15,6,0.15
True,True,0.006113334005931392,22,0.005345371013390832,all_box,box,box,0.15,7,0.15
True,True,0.006583000009413809,22,0.005762125001638196,all_box,box,box,0.15,8,0.15
True,True,0.006634791992837563,22,0.005780624967883341,all_box,box,box,0.15,9,0.15
True,True,0.10276304100989364,312,0.0764331999089336,all_box,box,box,0.15,10,0.15
False,False,0.0,0,0.0,all_box,box,box,0.15,11,0.15
True,True,0.006138333003036678,22,0.005330916013917886,all_box,box,box,0.15,12,0.15
True,True,0.06505991700396407,197,0.047095876856474206,all_box,box,box,0.15,13,0.15
False,False,0.0,0,0.0,all_box,box,box,0.15,14,0.15
True,False,0.0010040419874712825,2,0.0007274990057339892,all_box,box,box,0.15,15,0.15
True,False,0.000949958004639484,2,0.0006989999965298921,all_box,box,box,0.15,16,0.15
True,True,0.009107958001550287,32,0.008029043019632809,all_box,box,box,0.15,17,0.15
False,False,0.0,0,0.0,all_box,box,box,0.15,18,0.15
True,True,0.00605583300057333,22,0.005266497973934747,all_box,box,box,0.15,19,0.15
False,False,0.0,0,0.0,all_vhacd,vhacd,vhacd,0.17,0,0.17
True,False,0.0009410830098204315,2,0.0006732499750796705,all_vhacd,vhacd,vhacd,0.17,1,0.17
True,True,0.006556833002832718,22,0.005725417009671219,all_vhacd,vhacd,vhacd,0.17,2,0.17
False,False,0.0,0,0.0,all_vhacd,vhacd,vhacd,0.17,3,0.17
False,False,0.0,0,0.0,all_vhacd,vhacd,vhacd,0.17,4,0.17
False,False,0.0,0,0.0,all_vhacd,vhacd,vhacd,0.17,5,0.17
True,True,0.2730557089962531,427,0.10916983601055108,all_vhacd,vhacd,vhacd,0.17,6,0.17
True,True,0.006106999993789941,22,0.005331291991751641,all_vhacd,vhacd,vhacd,0.17,7,0.17
True,True,0.006491374995675869,22,0.005685001990059391,all_vhacd,vhacd,vhacd,0.17,8,0.17
True,True,0.00607020799361635,22,0.005280837038299069,all_vhacd,vhacd,vhacd,0.17,9,0.17
True,True,0.10347649999312125,314,0.07622437096142676,all_vhacd,vhacd,vhacd,0.17,10,0.17
False,False,0.0,0,0.0,all_vhacd,vhacd,vhacd,0.17,11,0.17
True,True,0.005959166999673471,22,0.005183082015719265,all_vhacd,vhacd,vhacd,0.17,12,0.17
True,True,0.08248041600745637,202,0.05900258902693167,all_vhacd,vhacd,vhacd,0.17,13,0.17
False,False,0.0,0,0.0,all_vhacd,vhacd,vhacd,0.17,14,0.17
True,False,0.0009975839930120856,2,0.000742042000638321,all_vhacd,vhacd,vhacd,0.17,15,0.17
True,True,0.12298387500050012,296,0.07720971095841378,all_vhacd,vhacd,vhacd,0.17,16,0.17
True,True,0.008755832997849211,32,0.0077266639564186335,all_vhacd,vhacd,vhacd,0.17,17,0.17
False,False,0.0,0,0.0,all_vhacd,vhacd,vhacd,0.17,18,0.17
True,True,0.005933292006375268,22,0.005144289010786451,all_vhacd,vhacd,vhacd,0.17,19,0.17
False,False,0.0,0,0.0,all_box,box,box,0.17,0,0.17
True,False,0.0008752080029807985,2,0.0006187079998198897,all_box,box,box,0.17,1,0.17
True,True,0.006469917003414594,22,0.005664497017278336,all_box,box,box,0.17,2,0.17
